nombre,apellido,nacido,casado,email
Iñaki,Gonzalez,1990-04-15,true,inaki.gonzalez@example.net
Gilberto,Ramirez,1982-11-23,false,
Jared,Alonso,1975-09-01,true,jared.alonso@example.com
Javier,,2000-01-20,,javier.something@example.net
Leo,Martinez,1988-03-30,true,leo.martinez@example.com
Pablo,Diaz,1995-05-21,false,pablo.diaz@example.com
Marina,Ortega,1993-07-14,,marina.ortega@example.com
Aaron,Sanz,1987-12-12,true,aaron.sanz@example.com
Eneko,,2001-04-03,false,
Aitor,Velasco,1998-06-15,,aitor.velasco@example.com
Gaizka,Murillo,1989-02-28,false,gaizka.murillo@example.net
Laura,Casas,1994-08-09,true,
Robert,Nuñez,1978-10-22,false,robert.nunez@example.com
Sofía,Martín,2002-01-30,true,sofia.martin@example.io
Carlos,Jiménez,1991-07-25,false,
Ana,Romero,1985-05-19,true,ana.romero@example.com
Elena,García,1988-10-14,false,
Miguel,López,1974-04-07,true,miguel.lopez@example.com
Clara,Fernández,1999-03-11,false,
Pepe,Moreno,1990-12-23,true,pepe.moreno@example.com
Ricardo,Gil,1984-11-10,,ricardo.gil@example.com
Teresa,Ruiz,1983-08-20,true,teresa.ruiz@example.net
Oscar,Cortés,1976-09-29,false,oscar.cortes@example.com
Beatriz,Pérez,1971-06-03,,beatriz.perez@example.com
Daniel,Santos,1993-04-16,true,daniel.santos@example.net
Lucía,Sanz,1987-12-12,false,lucia.sanz@example.com
Felipe,Reyes,1989-01-30,true,felipe.reyes@example.com
Carmen,Díaz,1995-02-11,,carmen.diaz@example.com
Manuel,Alonso,1997-07-28,false,manuel.alonso@example.com
Victor,Gomez,1992-10-05,true,victor.gomez@example.net
Marta,Suarez,1979-03-21,false,
Hugo,Vidal,2001-08-15,true,hugo.vidal@example.com
Alba,Moreno,1985-11-28,,alba.moreno@example.com
Ivan,Castro,1994-06-12,false,ivan.castro@example.com
Sara,Ortiz,1996-09-07,true,sara.ortiz@example.com
Alejandro,Ferrer,1988-12-22,false,alejandro.ferrer@example.com
Isabel,Vega,1975-02-05,true,isabel.vega@example.net
Diego,Moya,1990-11-30,,diego.moya@example.com
Lidia,Soler,1984-07-25,true,lidia.soler@example.com
Raul,Campos,1993-01-16,false,raul.campos@example.com
Nuria,Gallardo,1999-04-28,true,nuria.gallardo@example.com
Fernando,Prado,1982-05-22,false,fernando.prado@example.com
Blanca,Román,2003-03-09,,blanca.roman@example.com
Jorge,Navarro,1976-08-14,true,jorge.navarro@example.net
María,Vázquez,1997-02-04,false,maria.vazquez@example.com
Adrián,Morales,1985-10-29,true,adrian.morales@example.com
Sandra,Nieto,1991-07-03,,sandra.nieto@example.com
Óscar,Bravo,1978-12-15,false,oscar.bravo@example.net
Luisa,Prieto,1989-09-20,true,luisa.prieto@example.com
